Drug/Class,Laboratory Test,Risk Type,Temporal Pattern,Example Alert
"acei_arb (lisinopril, enalapril, ramipril...)","potassium, creatinine, egfr",hyperkalemia,"increase of >= 0.5 within 30d, current >= 5.0",ACE inhibitor / ARB → Hyperkalemia
anticoagulant (warfarin...),inr,bleeding,"increase of >= 1.3 within 14d, current >= 3.5",Warfarin → Elevated INR / Bleeding risk
biguanide (metformin...),"egfr, creatinine",renal safety,"decrease of >= 0.2 within 60d, current <= 45.0",Metformin → Renal function decline
